movie_name,description
Soul,"Released 2020, Certificate U, Runtime 100 min, Genres Animation, Adventure, Comedy, Rating 8.1, Summary After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife., Director Pete Docter, Kemp Powers, Jamie Foxx, Tina Fey, Graham Norton"
Moana,"Released 2016, Certificate U, Runtime 107 min, Genres Animation, Adventure, Comedy, Rating 7.6, Summary In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right., Director Ron Clements, John Musker, Don Hall, Chris Williams, Auli'i Cravalho"
Gisaengchung,"Released 2019, Certificate A, Runtime 132 min, Genres Comedy, Drama, Thriller, Rating 8.6, Summary Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan., Director Bong Joon Ho, Kang-ho Song, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-sik"
Joker,"Released 2019, Certificate A, Runtime 122 min, Genres Crime, Drama, Thriller, Rating 8.5, Summary In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker., Director Todd Phillips, Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy"
Avengers: Endgame,"Released 2019, Certificate UA, Runtime 181 min, Genres Action, Adventure, Drama, Rating 8.4, Summary After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe., Director Anthony Russo, Joe Russo, Robert Downey Jr., Chris Evans, Mark Ruffalo"
Get Out,"Released 2017, Certificate R, Runtime 104 min, Genres Horror, Mystery, Thriller, Rating 7.7, Summary A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point., Director Jordan Peele, Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener"
Ford v Ferrari,"Released 2019, Certificate UA, Runtime 152 min, Genres Action, Biography, Drama, Rating 8.1, Summary American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966., Director James Mangold, Matt Damon, Christian Bale, Jon Bernthal, Caitriona Balfe"
Knives Out,"Released 2019, Certificate UA, Runtime 130 min, Genres Comedy, Crime, Drama, Rating 7.9, Summary A detective investigates the death of a patriarch of an eccentric, combative family., Director Rian Johnson, Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis"
The Irishman,"Released 2019, Certificate R, Runtime 209 min, Genres Biography, Crime, Drama, Rating 7.9, Summary An old man recalls his time painting houses for his friend, Jimmy Hoffa, through the 1950-70s., Director Martin Scorsese, Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel"
The Gentlemen,"Released 2019, Certificate A, Runtime 113 min, Genres Action, Comedy, Crime, Rating 7.8, Summary An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him., Director Guy Ritchie, Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong"
Little Women,"Released 2019, Certificate U, Runtime 135 min, Genres Drama, Romance, Rating 7.8, Summary Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms., Director Greta Gerwig, Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen"
Toy Story 4,"Released 2019, Certificate U, Runtime 100 min, Genres Animation, Adventure, Comedy, Rating 7.8, Summary When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy., Director Josh Cooley, Tom Hanks, Tim Allen, Annie Potts, Tony Hale"
Baby Driver,"Released 2017, Certificate UA, Runtime 113 min, Genres Action, Crime, Drama, Rating 7.6, Summary After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail., Director Edgar Wright, Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González"
Arrival,"Released 2016, Certificate UA, Runtime 116 min, Genres Drama, Sci-Fi, Rating 7.9, Summary A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecrafts appear around the world., Director Denis Villeneuve, Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg"
Just Mercy,"Released 2019, Certificate A, Runtime 137 min, Genres Biography, Crime, Drama, Rating 7.6, Summary World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner., Director Destin Daniel Cretton, Michael B. Jordan, Jamie Foxx, Brie Larson, Charlie Pye Jr."
Zootopia,"Released 2016, Certificate U, Runtime 108 min, Genres Animation, Adventure, Comedy, Rating 8, Summary In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy., Director Byron Howard, Rich Moore, Jared Bush, Ginnifer Goodwin, Jason Bateman"
Bohemian Rhapsody,"Released 2018, Certificate UA, Runtime 134 min, Genres Biography, Drama, Music, Rating 8, Summary The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985)., Director Bryan Singer, Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy"
Isle of Dogs,"Released 2018, Certificate U, Runtime 101 min, Genres Animation, Adventure, Comedy, Rating 7.9, Summary Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog., Director Wes Anderson, Bryan Cranston, Koyu Rankin, Edward Norton, Bob Balaban"
Deadpool 2,"Released 2018, Certificate R, Runtime 119 min, Genres Action, Adventure, Comedy, Rating 7.7, Summary Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable., Director David Leitch, Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison"
Dark Waters,"Released 2019, Certificate PG-13, Runtime 126 min, Genres Biography, Drama, History, Rating 7.6, Summary A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution., Director Todd Haynes, Mark Ruffalo, Anne Hathaway, Tim Robbins, Bill Pullman"
Searching,"Released 2018, Certificate U/A, Runtime 102 min, Genres Drama, Mystery, Thriller, Rating 7.6, Summary After his teenage daughter goes missing, a desperate father tries to find clues on her laptop., Director Aneesh Chaganty, John Cho, Debra Messing, Joseph Lee, Michelle La"
